date,time,site,color ,level,amb_C°,C°_top_s,C°_bot_s,C°_top_b ,C°_bot_b,C°_cent_s,C°_cent_b,Humidity,Notes 
5/7/25,15:00,APP,B,W,26.5,24.4,22.9,23.2,23.4,23,23.1,46.3,
5/7/25,15:45,SLA,T,B,28.2,34.7,30.6,33.6,33.9,31.1,31.6,39.4,
5/7/25,15:45,SLA,B,W,28.2,29,29,29.7,28.6,29.2,29,39.4,
5/7/25,16:28,EDI,,,28.2,,,,,,,30.2,Cloudy
5/7/25,16:51,WES,W,T,27.6,27.4,27,26.7,26.8,27,27.2,33.7,Cloudy
5/7/25,16:51,WES,B,B,27.6,27.8,27.5,28,27.9,27.9,28.6,33.7,
5/7/25,10:52,GAB,W,T,28.2,30.8,29.2,29.1,30.7,34.4,30.2,26.5,
5/7/25,10:52,GAB,B,B,28.2,37.8,31.9,34.4,36.4,35.8,35.1,26.5,
5/7/25,11:39,GRE,B,T,32.5,36.8,36.8,43.6,38.9,35.7,38.4,32,
5/7/25,11:39,GRE,W,B,32.5,33.9,31.6,31.1,31.6,32.3,31.6,32,
5/7/25,12:18,PAR ,B,T,35,41.1,36,42.3,37.3,35.7,36.6,33.3,
5/7/25,12:18,PAR ,W,B,35,32.1,33.3,32.7,32.4,31.9,31.7,33.3,
5/7/25,12:48,PAL,W,T,33,32,31.9,32.1,32.5,33.1,33.2,32,
5/7/25,12:48,PAL,B,B,33,33.4,33.5,34.2,34.8,34.8,35,32,
5/7/25,13:00,STE,,,33.4,,,,,,,31.5,
5/7/25,13:37,GEO ,,,32.5,,,,,,,30.8,
5/7/25,14:29,COO,W,T,36,34,33.1,32.9,33.4,33.4,33.6,34,
5/7/25,14:29,COO,B,B,36,39,35.3,36.7,34.2,36.6,36.5,34,
5/7/25,15:40,CHA,B,T,,36.9,33.3,36,37.8,35.4,35.9,31.9,
5/7/25,15:40,CHA,W,B,,31.9,30.6,30.8,31,31.9,31.5,30.2,
5/7/25,16:13,RUB ,W,T,28.6,28.8,28.2,30.1,28,28.1,28.4,25.6,
5/7/25,16:13,RUB ,B,B,28.6,31.9,30.3,30.8,29.9,29.7,30,25.6,
20/6/25,9:30,MAR,,,28.7,,,,,,,21.2,
20/6/25,10:00,SHO,B,T,31.5,39.3,36.3,37,41.2,37,36.7,28.5,
20/6/25,10:00,SHO,W,B,31.5,34.3,33.3,33.3,33.4,33.3,32.7,28.5,
20/6/25,10:41,EDI,,,36,,,,,,,28.7,
20/6/25,11:21,WES,W,T,35.3,35.5,35,34.6,35,34.9,34.1,27.3,
20/6/25,11:21,WES,B,B,35.3,42.4,37.3,37.2,41.3,30.5,37.8,27.3,
20/6/25,12:00,EIB,W,T,36.8,37.6,37,36.7,36.6,36.6,36.4,16.3,
20/6/25,12:00,EIB,B,B,36,37.8,38.9,38.6,41.8,40,39.6,26.3,
20/6/25,12:41,SLA,B,T,36.9,44.1,41.1,44,41,40,39.6,33.3,
25/7,10:24,MAR,,,24.6,,,,,,,23.6,
25/7,11:01,RUB,W,T,28.5,30.7,29.9,29.8,30.8,30.4,30,26,
25/7,11:01,RUB ,B,B,28.5,43.7,33.7,33.5,33.7,34.6,35.6,26,
25/7,11:37,CHA,B,T,31.2,38.8,33,39.5,38.9,35.4,35.9,30.9,
25/7,11:37,CHA,W,B,31.2,31.6,30.4,32,30.4,30.3,30.4,30.9,
25/7,12:06,SAM,,,30.3,,,,,,,30.4,
25/7,13:01:00 PM,COO,W,T,33.6,33.6,32.9,33.2,33.6,33.4,33,29.9,
25/7,13:01:00 PM,COO,B,B,33.6,33.8,37.1,40.3,39.1,35.9,30.7,29.9,
25/7,14:40,STE,,,33.6,,,,,,,31.6,
25/7,15:03,PAL,W,T,34.1,36.5,36.6,36.9,36.6,36.5,36.3,34.5,
25/7,15:03,PAL,B,B,34.1,37.2,36.9,38.9,38.2,37.6,39.4,34.5,
25/7,15:32,PAR,B,T,32.3,34.9,33.7,36,35,34.4,37.6,29.7,
25/7,15:32,PAR,W,B,32.3,31.6,30.9,30.5,31.2,31.5,31.4,29.7,
25/7,16:08,GRE,B,T,30.3,30.9,31,31.4,31.5,31.5,32,28.4,
25/7,16:08,GRE,W,B,30.3,29.7,29.6,29.1,29.2,29.2,29.2,28.4,
25/7,16:54,GAB,W,T,28.7,28.3,28.3,28.1,28.4,28.8,20.7,26.6,
25/7,16:54,GAB,B,B,28.7,29.9,29.5,30.8,30.2,30,30,26.6,
11/07/25,10:35,APP,B,T,29.6,33,30.4,32.9,33.9,31.5,31.4,33.1,
11/07/25,10:35,APP,W,B,29.6,28.5,28,28.6,27.9,27.4,27.1,33.1,
11/07/25,11:17,SLA,B,T,30.1,29.1,28.8,32.7,30.2,28.6,28.3,32,
11/07/25,11:17,SLA,W,B,30.1,27.3,27,26.2,26.2,26.3,26,32,
11/07/25,11:44,EDI,,,31.2,,,,,,,31.2,
11/07/25,12:05,SHO,B,T,32.7,39,38.4,38.7,39,37.5,37.8,29.4,
11/07/25,12:05,SHO,W,B,32.7,34.3,33.6,32.5,31.6,31.5,31.5,29.4,
11/07/25,12:34,WES,W,T,32.5,29.8,28.7,29.1,29.2,29.5,29.5,31.2,
11/07/25,12:34,WES,B,B,32.5,30.9,31,31.1,31.3,31.4,31,31.2,
11/07/25,,KCA,B,T,28.5,36,33,35.2,33.2,32.6,32.6,27.8,
11/07/25,,KCA,B,W,28.5,31,30.9,30.3,30.1,29.9,29.7,27.8,
11/07/25,,SAB,W,T,35.5,34,33.1,33.4,33,32.5,32.2,28,
11/07/25,,SAB,B,B,35.5,35.2,34,33.6,36,35.1,34.3,28,
11/07/25,,GABL,B,T,31.2,35.3,33.3,34.4,33.8,33.6,34.1,28.2,
11/07/25,,GABL,W,B,31.2,32.5,31.2,31.3,31,30.3,30.2,28.2,
11/07/25,,JEF,,,30.3,,,,,,,27.9,
11/07/25,,EIB,W,T,30,30.1,30,29.6,30,30.2,30.1,28.5,
11/07/25,,EIB,B,B,30,30.6,30.2,31,31,30.6,31,28.5,
11/07/25,10:15,GRE,B,T,26,,,,,,,,
11/07/25,10:15,GRE,W,B,26,,,,,,,,
11/07/25,,,,,,,,,,,,,
11/07/25,,,,,,,,,,,,,
11/07/25,,,,,,,,,,,,,
11/07/25,,,,,,,,,,,,,
11/07/25,,,,,,,,,,,,,
11/07/25,,,,,,,,,,,,,
11/07/25,,,,,,,,,,,,,
11/07/25,,,,,,,,,,,,,
11/07/25,,,,,,,,,,,,,
11/07/25,,,,,,,,,,,,,
11/07/25,,,,,,,,,,,,,
11/07/25,,,,,,,,,,,,,
11/07/25,,,,,,,,,,,,,
11/07/25,,,,,,,,,,,,,
11/07/25,,,,,,,,,,,,,
18/07/25,8:59,APP,B,T,27.4,36.7,31.9,31,35.7,32.7,33,43.3,
,8:59,APP,W,B,27.4,25.8,27.4,28.7,26.8,27,26.5,43.3,
18/07/25,9:39,EIB,W,T,29.3,28.8,28.4,27.7,28.3,28,27.3,38.8,
18/07/25,9:39,EIB,B,B,29.3,35.3,32.1,33.4,35.4,33,32.7,38.8,
18/07/25,10:01,SLA,B,T,30.7,35.6,37.1,40.6,36,33.1,32.9,33.3,
18/07/25,10:01,SLA,W,B,30.7,30,28.5,28.6,28.8,28.6,28.2,33.3,
18/07/25,10:26,EDI,,,31.5,,,,,,,31.1,
18/07/25,10:52,SHO,B,T,35.2,44.1,37.2,39.9,42.3,40.4,40.2,25.6,
18/07/25,10:52,SHO,W,B,35.2,34,32.9,33.1,33.4,33,32.6,25.6,
18/07/25,11:24,WES,W,T,32.1,33.8,32.3,32,32.5,32.4,31.8,25.6,
18/07/25,11:24,WES,B,B,32.1,39.9,35.1,34.8,37.1,35.7,35.8,25.6,
18/07/25,12:03,GABL,B,T,30.7,37.2,35,37.7,36.6,35.8,38.1,31.5,
18/07/25,12:03,GABL,W,B,30.7,31.5,31,31.1,31.2,31.3,31.1,31.5,
18/07/25,12:30,JEF,,,32.4,,,,,,,26.7,
18/07/25,12:54,SAB,W,T,34.3,35,35.2,35.1,34,34.3,34.5,25.7,
18/07/25,12:54,SAB,B,B,34.3,37.9,37.1,37,38,37,37.2,25.7,
18/07/25,13:14,KCA,B,T,32.1,38.6,35.8,37.8,38,39,39,24.2,
18/07/25,13:14,KCA,W,B,32.1,33.4,33.4,35.2,33.3,34,34.2,24.2,
18/07/25,14:02,MAR,,,31.4,,,,,,,25.3,
18/07/25,10:58,COO,W,T,,,,,,,,,
18/07/25,10:58,COO,B,B,,,,,,,,,
18/07/25,12:04,GW,,,,,,,,,,,
18/07/25,12:25,PAL,W,T,,,,,,,,,
18/07/25,12:25,PAL,B,B,,,,,,,,,
18/07/25,13:22,PAR,B,T,,,,,,,,,
18/07/25,13:22,PAR,W,B,,,,,,,,,
18/07/25,14:37,GRE,B,T,,,,,,,,,
18/07/25,14:37,GRE,W,B,,,,,,,,,
18/07/25,15:37,GAB,W,T,,,,,,,,,
18/07/25,15:37,GAB,B,B,,,,,,,,,
18/07/25,17:06,CHA,B,T,,,,,,,,,
18/07/25,17:06,CHA,W,B,,,,,,,,,
18/07/25,17:40,RUB,W,T,,,,,,,,,
18/07/25,17:40,RUB,B,B,,,,,,,,,
08/01/25,9:44,GABL,B,T,21.1,29.6,28.4,39.7,34,29.8,30,21.1,
