Site,site_code,date,plant_code,treatment,mass_g,no_seeds,length_mm,width,volume_mL,cylindrical,notes,,
Slater Elementary School Community Garden,SLA,8/14,SLA-pol1-t,Pollinated,92.18,59,85.83,44.97,95,Yes,,,
Greenway Community Garden,GRE,8/14,GRE-pol2-c,Control,154.75,76,109.39,52.31,160,Yes,,,
Edison School Community Garden,EDI,8/14,EDI-pol2-t,Pollinated,102.83,10,85.3,48.49,100,Yes,,,
Gables School and Community Garden,GABL,8/14,GABL-pre-c,Control,91.14,23,81.35,47.85,100,No,,,
Edison School Community Garden,EDI,8/14,EDI-pol1-c,Control,198.97,41,109.61,62.22,205,Yes,,,
West Colfax Community Urban Garden,WES,8/14,WES-pre-c,Control,67.81,12,69.12,45.18,,No,,,
Greenway Community Garden,GRE,8/6,GRE-pre-c,Control,199.91,80,112.01,58.18,200,Yes,,,
West Colfax Community Urban Garden,WES,8/8,WES-pol1-c,Control,115.88,15,83.43,52.68,110,Yes,,,
KCAA Community Studio Garden,KCA,8/8,KCA-pre-t,Pollinated,102,37,84.11,53.75,100,No,,,
Sabin School Garden,SAB,8/8,SAB-pol2-t,Pollinated,149.91,27,93.53,57.82,140,No,,,
Greenway Community Garden,GRE,8/6,GRE-pol1-t,Pollinated,275.16,124,136,60.18,275,Yes,,,
Slater Elementary School Community Garden,SLA,8/14,SLA-pre-t-a,Pollinated,63.34,74,61.58,44.77,65,No,"picked too early, no yellowing",,
Slater Elementary School Community Garden,SLA,8/14,SLA-pre-t-b,Pollinated,30.91,32,60.94,32.73,30,Yes,"picked too early, no yellowing",,
Greenway Community Garden,GRE,8/20,GRE-pol1-c,Control,135.32,106,98.84,49.96,140,Yes,,,
Gables School and Community Garden,GABL,8/20,GABL-pol2-t,Pollinated,90.31,21,74.82,48.17,90,No,,,
Slater Elementary School Community Garden,SLA,8/20,SLA-pol2-c,Control,125.1,44,85.08,52.4,130,Yes,,,
Greenway Community Garden,GRE,8/20,GRE-pol1-t-a,Pollinated,147.23,127,81.8,59.27,160,Yes,,,
Greenway Community Garden,GRE,8/20,GRE-pol1-t-b,Pollinated,66.92,48,73.45,44.13,70,No,,,
Greenway Community Garden,GRE,8/20,GRE-pol1-t-c,Pollinated,75.7,66,66.92,50.12,80,No,,,
Slater Elementary School Community Garden,SLA,8/20,SLA-pol2-t,Pollinated,77.36,67,76.51,42.57,80,Yes,"picked early, not yellowing",,
Shoshone Community Garden,SHO,8/20,SHO-pol1-t,Pollinated,145.06,72,90.77,53.27,150,Yes,,,
Greenway Community Garden,GRE,8/20,GRE-pre-c,Control,188.84,115,103.15,57.48,200,Yes,,,
Gables School and Community Garden,GABL,8/20,GABL-pol2-c,Control,80.66,50,69.11,53.37,85,No,,,
Gables School and Community Garden,GABL,8/20,GABL-pol1-c,Control,63.11,20,56.87,49.09,60,No,,,
Edison School Community Garden,EDI,8/20,EDI-pol1-t,Pollinated,67.33,19,61.53,52.93,70,No,,,
KCAA Community Studio Garden,KCA,8/20,KCA-pol2-t,Pollinated,36.31,9,70.46,34.1,40,Yes,"picked early, not yellowing",,
